trail_id,user_id,num_poi,poi_id,timestamp,rating,temp,precip,windspeed,preciptype,conditions,city
1790507,101817,poi_1,4b243a7df964a520356424e3,2017-10-09T21:09:00,6.5,18.4,0.0,5.4,,Partially cloudy,Tokyo
1790507,101817,poi_2,4b19f917f964a520abe623e3,2017-10-09T21:54:00,7.8,19.7,0.0,3.6,,Clear,Tokyo
1790507,101817,poi_3,4b59843ff964a520da8a28e3,2017-10-09T21:56:00,7.5,19.7,0.0,3.6,,Clear,Tokyo
1790507,101817,poi_4,4b5ab7bff964a520eed128e3,2017-10-09T22:11:00,8.5,19.7,0.0,3.6,,Clear,Tokyo
1790507,101817,poi_5,4e5466d845dd5c591f4a1f09,2017-10-09T22:28:00,-1.0,19.7,0.0,3.6,,Clear,Tokyo
1790507,101817,poi_6,54866205498e6510cc2c7885,2017-10-09T23:11:00,-1.0,22.2,0.0,3.7,,Clear,Tokyo
1790507,101817,poi_7,4b52c581f964a520c28727e3,2017-10-09T23:34:00,-1.0,23.6,0.0,5.5,,Partially cloudy,Tokyo
1790507,101817,poi_8,4b64fbc9f964a520b0dd2ae3,2017-10-10T00:01:00,-1.0,23.6,0.0,5.5,,Partially cloudy,Tokyo
1790507,101817,poi_9,5025ef85e4b063baa09c06df,2017-10-10T00:08:00,7.3,23.6,0.0,5.5,,Partially cloudy,Tokyo
1790507,101817,poi_10,4b093eeff964a520e51423e3,2017-10-10T00:26:00,6.7,23.6,0.0,5.5,,Partially cloudy,Tokyo
1790507,101817,poi_11,4b243a7df964a520356424e3,2017-10-10T00:47:00,6.5,24.8,0.0,3.7,,Clear,Tokyo
1790523,101817,poi_1,4b55670ff964a52071e327e3,2017-11-13T20:23:00,8.5,10.9,0.0,9.3,,Overcast,Tokyo
1790523,101817,poi_2,4b5ab7bff964a520eed128e3,2017-11-13T20:35:00,8.5,10.4,0.0,5.5,,Partially cloudy,Tokyo
1790523,101817,poi_3,57832089498e4ac4106ec108,2017-11-13T20:42:00,7.6,10.4,0.0,5.5,,Partially cloudy,Tokyo
1790523,101817,poi_4,4b0587a6f964a5203d9e22e3,2017-11-13T21:20:00,7.1,10.4,0.0,5.5,,Partially cloudy,Tokyo
1790523,101817,poi_5,4df47c74d4c01ff6b2eff9d8,2017-11-13T21:31:00,-1.0,11.3,0.0,11.3,,Overcast,Tokyo
1790523,101817,poi_6,4b0587a6f964a5203e9e22e3,2017-11-13T22:19:00,7.9,11.3,0.0,11.3,,Overcast,Tokyo
1790523,101817,poi_7,4b19f917f964a520abe623e3,2017-11-13T22:31:00,7.8,11.4,0.0,7.8,,Overcast,Tokyo
1790523,101817,poi_8,4b55670ff964a52071e327e3,2017-11-13T22:35:00,8.5,11.4,0.0,7.8,,Overcast,Tokyo
1790523,101817,poi_9,4b612ca0f964a520fa0b2ae3,2017-11-13T22:59:00,8.3,11.4,0.0,7.8,,Overcast,Tokyo
1790523,101817,poi_10,4b5ab7bff964a520eed128e3,2017-11-13T23:14:00,8.5,11.4,0.0,7.8,,Overcast,Tokyo
1790523,101817,poi_11,4f502b8de4b0a637ab34f0e3,2017-11-14T00:58:00,8.8,13.1,0.0,7.5,,Overcast,Tokyo
1790532,101817,poi_1,4b2438f3f964a520116424e3,2017-11-30T20:00:00,-1.0,7.9,0.0,9.4,,Overcast,Tokyo
1790532,101817,poi_2,4b243a7df964a520356424e3,2017-11-30T20:13:00,6.5,7.9,0.0,9.4,,Overcast,Tokyo
1790532,101817,poi_3,4b1f4464f964a520372524e3,2017-11-30T21:09:00,6.0,7.9,0.0,5.6,,Overcast,Tokyo
1790532,101817,poi_4,4b6cedcef964a520825e2ce3,2017-11-30T21:22:00,8.8,7.9,0.0,5.6,,Overcast,Tokyo
1790532,101817,poi_5,4b2ce89af964a5209dca24e3,2017-11-30T22:01:00,5.4,7.6,0.0,9.4,,Overcast,Tokyo
1790532,101817,poi_6,4b385a52f964a520b44d25e3,2017-11-30T22:13:00,5.7,7.6,0.0,9.4,,Overcast,Tokyo
1790532,101817,poi_7,4b5aa058f964a52068ce28e3,2017-12-01T16:39:00,7.7,7.1,0.0,5.7,,Partially cloudy,Tokyo
1790532,101817,poi_8,4b19f917f964a520abe623e3,2017-12-01T18:07:00,7.8,6.6,0.0,9.4,,Partially cloudy,Tokyo
1790532,101817,poi_9,50da71d9498e6fa64e69bc7b,2017-12-01T18:25:00,6.1,6.6,0.0,9.4,,Partially cloudy,Tokyo
1790532,101817,poi_10,592ef696b1538e78d4872542,2017-12-01T19:38:00,7.4,5.2,0.0,5.6,,Clear,Tokyo
1790532,101817,poi_11,4b47db98f964a520ce4126e3,2017-12-01T21:55:00,7.0,4.9,0.0,3.9,,Clear,Tokyo
1790532,101817,poi_12,589871463bd4ab768af668b6,2017-12-01T22:36:00,-1.0,5.7,0.0,7.7,,Partially cloudy,Tokyo
1790549,101817,poi_1,4b80d935f964a520e38e30e3,2018-01-10T17:14:00,-1.0,4.7,0.0,11.3,,Clear,Tokyo
1790549,101817,poi_2,4e4788cf62e148603b81d924,2018-01-10T17:41:00,7.6,4.3,0.0,11.2,,Clear,Tokyo
1790549,101817,poi_3,4ce62908595cb1f75ac4ba14,2018-01-10T18:33:00,5.9,3.8,0.0,7.6,,Clear,Tokyo
1790549,101817,poi_4,4b19f917f964a520abe623e3,2018-01-10T18:36:00,7.8,3.8,0.0,7.6,,Clear,Tokyo
1790549,101817,poi_5,4b0587a6f964a5203d9e22e3,2018-01-10T18:54:00,7.1,3.8,0.0,7.6,,Clear,Tokyo
1790549,101817,poi_6,4b62dc94f964a5200e562ae3,2018-01-10T19:02:00,8.2,3.8,0.0,7.6,,Clear,Tokyo
1790549,101817,poi_7,4b556e1ef964a52016e427e3,2018-01-10T19:17:00,8.3,3.8,0.0,7.6,,Clear,Tokyo
1790549,101817,poi_8,4b5d8085f964a520295f29e3,2018-01-10T19:41:00,8.3,3.0,0.0,3.8,,Clear,Tokyo
1790549,101817,poi_9,4b0587a6f964a5203d9e22e3,2018-01-10T20:04:00,7.1,3.0,0.0,3.8,,Clear,Tokyo
1790549,101817,poi_10,4bd557cc6798ef3b4735638d,2018-01-10T20:17:00,6.1,3.0,0.0,3.8,,Clear,Tokyo
1790549,101817,poi_11,4b5aa9d9f964a520edcf28e3,2018-01-10T20:32:00,8.4,2.8,0.0,7.5,,Clear,Tokyo
1790549,101817,poi_12,4b093eeff964a520e51423e3,2018-01-10T20:41:00,6.7,2.8,0.0,7.5,,Clear,Tokyo
1790549,101817,poi_13,4b52c581f964a520c28727e3,2018-01-10T21:14:00,-1.0,2.8,0.0,7.5,,Clear,Tokyo
1790549,101817,poi_14,4b80d935f964a520e38e30e3,2018-01-10T21:18:00,-1.0,2.8,0.0,7.5,,Clear,Tokyo
1790549,101817,poi_15,4b5ab0ddf964a520f5d028e3,2018-01-10T22:11:00,8.5,1.8,0.005,1.9,"rain,snow","Snow, Rain",Tokyo
1790557,101817,poi_1,4b79d086f964a520de132fe3,2018-01-26T17:26:00,-1.0,-1.0,0.0,11.3,,Clear,Tokyo
1790557,101817,poi_2,4b38b418f964a520914f25e3,2018-01-26T17:45:00,5.6,-1.2,0.0,9.5,,Clear,Tokyo
1790557,101817,poi_3,54866205498e6510cc2c7885,2018-01-26T17:55:00,-1.0,-1.2,0.0,9.5,,Clear,Tokyo
1790557,101817,poi_4,4e5466d845dd5c591f4a1f09,2018-01-26T18:36:00,-1.0,-1.5,0.0,12.9,,Clear,Tokyo
1790557,101817,poi_5,4b59843ff964a520da8a28e3,2018-01-26T20:07:00,7.5,-0.5,0.0,14.6,,Clear,Tokyo
1790557,101817,poi_6,4b0587a6f964a5203d9e22e3,2018-01-31T17:44:00,7.1,3.1,0.0,9.2,,Partially cloudy,Tokyo
1790557,101817,poi_7,4b5c179ff964a520da2329e3,2018-01-31T17:51:00,6.7,3.1,0.0,9.2,,Partially cloudy,Tokyo
1790557,101817,poi_8,4b52d37af964a520ca8827e3,2018-01-31T17:59:00,6.4,3.1,0.0,9.2,,Partially cloudy,Tokyo
1790557,101817,poi_9,4b556e1ef964a52016e427e3,2018-01-31T18:28:00,8.3,3.1,0.0,9.2,,Partially cloudy,Tokyo
1790557,101817,poi_10,4b5c179ff964a520da2329e3,2018-01-31T18:32:00,6.7,3.1,0.0,7.5,,Clear,Tokyo
1790557,101817,poi_11,4b243a7df964a520356424e3,2018-01-31T19:07:00,6.5,3.1,0.0,7.5,,Clear,Tokyo
1790557,101817,poi_12,4b653734f964a52042e92ae3,2018-01-31T19:19:00,7.8,3.1,0.0,7.5,,Clear,Tokyo
1790560,101817,poi_1,4b243a7df964a520356424e3,2018-02-07T18:03:00,6.5,0.5,0.0,5.5,,Clear,Tokyo
1790560,101817,poi_2,4b093eeff964a520e51423e3,2018-02-07T18:24:00,6.7,0.5,0.0,5.5,,Clear,Tokyo
1790560,101817,poi_3,4b7fc151f964a5205b3c30e3,2018-02-07T18:31:00,5.2,0.1,0.0,5.4,,Clear,Tokyo
1790560,101817,poi_4,4b863a20f964a5203e8331e3,2018-02-07T18:57:00,-1.0,0.1,0.0,5.4,,Clear,Tokyo
1790560,101817,poi_5,4b52c581f964a520c28727e3,2018-02-07T19:27:00,-1.0,0.1,0.0,5.4,,Clear,Tokyo
1790560,101817,poi_6,54866205498e6510cc2c7885,2018-02-07T19:32:00,-1.0,0.1,0.0,7.5,,Clear,Tokyo
1790560,101817,poi_7,4e5466d845dd5c591f4a1f09,2018-02-07T20:03:00,-1.0,0.1,0.0,7.5,,Clear,Tokyo
1790560,101817,poi_8,4b0dfb78f964a520815323e3,2018-02-07T21:33:00,-1.0,0.1,0.0,5.6,,Clear,Tokyo
1790560,101817,poi_9,4b4122c2f964a520d6c125e3,2018-02-07T22:59:00,-1.0,2.0,0.0,5.5,,Clear,Tokyo
1790560,101817,poi_10,4b54fe62f964a52000d727e3,2018-02-07T23:13:00,-1.0,2.0,0.0,5.5,,Clear,Tokyo
1790560,101817,poi_11,4b243a7df964a520356424e3,2018-02-08T04:27:00,6.5,7.5,0.0,7.6,,Clear,Tokyo
1790560,101817,poi_12,4c88dd1c7223b1f7e2c52ea8,2018-02-08T04:31:00,-1.0,8.0,0.0,7.7,,Partially cloudy,Tokyo
1790566,101817,poi_1,4b6e3e46f964a520e2b32ce3,2018-02-22T17:14:00,5.7,1.9,0.0,11.2,,Overcast,Tokyo
1790566,101817,poi_2,4b79d086f964a520de132fe3,2018-02-22T17:24:00,-1.0,1.9,0.0,11.2,,Overcast,Tokyo
1790566,101817,poi_3,4b752765f964a52068ff2de3,2018-02-22T17:41:00,-1.0,1.9,0.002,7.7,"rain,snow","Snow, Rain, Overcast",Tokyo
